,Bacteroides_thetaiotaomicron,Bifidobacterium_infantis,Lactobacillus_crispatus
alpha-glucan,21,7,5
xylan,26,2,2
beta-galactan,14,4,2
host glycan,100,15,2
pectin,35,1,0
xyloglucan,18,2,0
alpha-rhamnoside,4,0,0
rhamnose,5,0,0
alpha-mannan,6,0,0
alpha-galactan,6,2,1
beta-glucuronan,4,0,0
arabinan,14,3,0
arabinogalactan,7,3,1
beta-glucan,10,3,3
beta-mannan,5,1,0
beta-fucosides,5,2,0
fructan,4,2,3
lignin,1,0,1
ulvan,3,0,0
chitin,6,4,1
exo-polysaccharide,1,0,0
peptidoglycan,2,4,8
polyphenol,1,2,0
sucrose,0,2,4
human milk polysaccharide,0,2,0
trehalose,0,0,1
